,2019,Duke,N. Dak. St.,VCU,UCF,Mississippi St.,Liberty,Virginia Tech,Saint Louis,Maryland,Belmont,LSU,Yale,Louisville,Minnesota,Michigan St.,Bradley,Gonzaga,F. Dickinson,Syracuse,Baylor,Marquette,Murray St.,Florida St.,Vermont,Buffalo,Arizona St.,Texas Tech,Northern Ky,Nevada,Florida,Michigan,Montana,Virginia,Gardner-Webb,Mississippi,Oklahoma,Wisconsin,Oregon,Kansas St.,UC Irvine,Villanova,Saint Mary's,Purdue,Old Dominion,Cincinnati,Iowa,Tennessee,Colgate,North Carolina,Iona,Utah St.,Washington,Auburn,New Mexio St.,Kansas,Northeastern,Iowa St.,Ohio St.,Houston,Georgia St.,Wofford,Seton Hall,Kentucky,Abilene Christ.
,wins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,bob,0,63,2,35,20,30,37,54,11,28,50,48,12,41,19,57,5,61,1,25,33,52,18,46,13,51,15,32,38,42,26,58,7,64,4,23,34,53,22,47,14,27,40,55,9,43,24,59,8,62,3,36,17,31,49,29,39,45,21,56,10,44,16,60,6
1,dave b.,1,64,4,31,25,45,17,55,11,41,23,48,13,47,24,60,8,63,2,34,29,38,21,51,14,43,18,56,12,40,39,57,7,59,1,28,30,54,27,42,16,33,37,61,5,36,32,52,9,62,3,35,20,53,22,44,15,49,26,50,10,46,19,58,6
2,drew,2,63,3,16,36,43,10,46,20,29,39,55,8,44,27,60,5,58,2,23,35,47,30,54,19,41,28,51,15,38,31,59,7,57,1,33,9,32,40,50,18,52,25,53,21,42,26,56,13,64,4,34,11,49,22,62,14,45,24,48,12,17,37,61,6
3,liz,3,64,2,25,20,39,15,54,11,41,22,45,13,43,24,60,6,62,1,36,18,38,23,51,17,40,21,56,12,42,35,57,8,63,5,27,33,48,31,46,14,47,29,55,10,44,32,58,7,61,3,28,26,53,19,50,16,49,34,52,9,37,30,59,4
4,barb,4,63,1,47,19,25,49,32,44,33,21,50,15,43,17,61,8,64,2,42,13,31,52,48,12,34,3,51,10,35,11,59,14,60,4,24,46,29,53,36,20,30,37,62,9,54,23,38,7,57,5,40,28,27,39,56,16,55,26,41,18,45,22,58,6
5,chad,5,64,1,19,18,43,17,53,11,44,31,46,14,39,21,59,6,63,2,29,13,42,33,50,30,41,16,56,9,36,34,57,8,62,3,20,22,45,38,47,25,48,27,54,12,40,26,58,7,61,4,24,23,55,32,51,15,49,35,52,10,37,28,60,5
6,liquorman,6,63,2,38,37,35,28,51,11,44,3,55,13,17,27,57,6,62,1,33,22,42,30,52,19,46,8,54,15,41,23,58,12,64,5,32,31,45,24,50,20,47,25,53,16,40,26,60,7,59,4,36,34,48,29,49,18,43,21,56,14,39,10,61,9
7,dave monkey,7,64,2,25,20,38,15,54,9,45,30,44,13,41,18,59,6,63,1,36,19,37,23,50,17,40,21,56,12,42,35,57,8,62,5,26,33,46,29,47,14,48,22,53,10,43,28,58,7,61,3,31,27,55,24,51,16,49,34,52,11,39,32,60,4
8,purdue pete,8,64,1,33,23,41,25,50,17,42,26,54,9,38,32,58,5,61,4,24,36,48,28,53,27,49,18,44,10,43,31,60,6,62,2,34,22,46,16,52,15,47,29,57,14,30,39,56,8,63,3,35,21,40,20,51,13,45,12,59,11,37,19,55,7
9,stef,9,64,2,17,11,34,6,57,14,33,35,54,9,44,36,63,3,51,13,45,28,31,59,43,16,56,23,42,24,27,25,55,10,62,4,20,29,40,21,32,48,39,18,58,8,53,41,52,7,61,5,26,30,50,12,47,15,38,22,60,19,46,37,49,1
10,peninsular danny,10,61,1,23,33,43,7,51,41,32,40,48,14,36,18,63,11,55,2,22,28,44,30,57,12,60,15,46,9,52,20,50,8,64,4,34,24,29,37,53,27,47,49,45,13,42,17,58,5,59,3,31,26,54,21,38,16,35,19,62,10,39,25,56,6
11,gully,11,63,1,33,30,45,14,55,10,44,26,51,15,41,20,60,6,62,2,36,23,40,27,52,21,43,18,56,9,37,31,57,8,64,3,28,35,39,32,48,19,47,17,53,12,42,22,59,7,61,4,34,29,50,16,49,13,46,25,54,11,38,24,58,5
12,RF,12,64,1,21,34,37,29,52,13,47,28,32,49,40,27,57,8,56,2,41,23,33,31,62,15,50,18,48,9,30,36,58,7,59,3,24,38,25,51,19,43,45,17,61,14,39,26,55,6,60,4,35,22,54,11,44,12,53,20,46,10,42,16,63,5
13,jake,13,62,1,26,39,49,18,56,9,22,38,55,17,43,19,59,5,61,4,33,30,44,24,58,10,48,20,53,11,29,35,60,6,63,2,28,40,41,21,45,14,27,34,57,13,42,23,52,7,64,3,37,25,47,16,50,15,36,31,51,12,46,32,54,8
14,terry,14,64,2,30,33,45,13,52,18,26,34,46,14,44,17,57,8,61,3,47,29,40,25,55,11,39,24,58,10,31,37,56,9,63,1,36,28,32,38,50,16,48,20,53,7,43,19,59,5,60,4,27,42,54,15,49,21,41,22,51,12,35,23,62,6
15,tyler,15,63,2,24,31,40,26,53,10,47,20,51,15,33,34,48,17,56,5,36,35,43,21,57,12,39,25,50,13,32,28,61,4,62,3,37,29,45,22,55,11,49,16,54,7,44,19,59,6,64,1,42,23,58,8,46,27,38,30,52,14,41,18,60,9
,,,,16,garrett,16,64,1,24,36,48,21,46,14,35,23,58,10,37,25,56,8,60,3,34,31,52,27,49,15,42,22,54,12,39,30,61,7,59,4,29,32,47,18,55,16,44,20,51,11,40,26,62,5,63,2,41,38,45,13,50,17,43,19,53,9,33,28,57,6
,,,,17,petey,17,62,40,31,25,45,17,54,11,41,23,47,13,48,24,61,5,63,1,33,29,38,22,51,15,43,18,56,12,20,37,60,7,64,4,26,30,53,28,42,16,39,36,55,9,35,32,57,8,2,3,34,21,52,59,46,14,49,27,50,10,44,19,58,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,pool size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,games played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,