seed,team,adjEm,adjT,,,left team,,right team info,
1,Duke,31.99,72.2,,,,,,
16,NC Central/N. Dak. St.,-7.545,65,,,-11.89,65.2,-3.2,64.8
8,VCU,15.69,68.2,,,,,,
9,UCF,14.58,64.8,,,,,,
5,Mississippi St.,20.68,67.4,,,,,,
12,Liberty,10.87,61.7,,,,,,
4,Virginia Tech,24.47,63.2,,,,,,
13,Saint Louis,6.27,66,,,,,,
6,Maryland,19.98,65.6,,,,,,
11,Belmont,13.69,71,,,,,,
3,LSU,20.97,69.8,,,,,,
14,Yale,8.58,70.7,,,,,,
7,Louisville,20.97,67.1,,,,,,
10,Minnesota,14.46,67.4,,,,,,
2,Michigan St.,31.36,67.4,,,,,,
15,Bradley,-0.36,65,,,,,,
1,Gonzaga,32.79,69.7,,,,,,
16,F. Dickinson,-3.79,66.6,,,,,,
8,Syracuse,16.3,66,,,,,,
9,Baylor,15.29,65.2,,,,,,
5,Marquette,18.42,68.6,,,,,,
12,Murray St.,13.34,69,,,,,,
4,Florida St.,22.56,68.2,,,,,,
13,Vermont,8.71,65.3,,,,,,
6,Buffalo,20.33,73.7,,,,,,
11,Arizona St./St. John's,9.98,70.5,,,11.21,70.5,8.75,70.5
3,Texas Tech,26.75,66.5,,,,,,
14,Northern Ky,6.56,67.9,,,,,,
7,Nevada,18.92,69.2,,,,,,
10,Florida,18.33,62.7,,,,,,
2,Michigan,29.44,64.4,,,,,,
15,Montana,3.55,66.5,,,,,,
1,Virginia,35.66,59.2,,,,,,
16,Gardner-Webb,-0.74,67.1,,,,,,
8,Mississippi,15.09,68.3,,,,,,
9,Oklahoma,15.54,68.6,,,,,,
5,Wisconsin,23.68,63.6,,,,,,
12,Oregon,15.15,64,,,,,,
4,Kansas St.,20.22,63,,,,,,
13,UC Irvine,9.46,65.1,,,,,,
6,Villanova,18.77,63.6,,,,,,
11,Saint Mary's,17.71,62.6,,,,,,
3,Purdue,26.05,65.6,,,,,,
14,Old Dominion,5.58,64.3,,,,,,
7,Cincinnati,17.05,63.2,,,,,,
10,Iowa,15.96,69.3,,,,,,
2,Tennessee,26.98,67.7,,,,,,
15,Colgate,4.29,66.3,,,,,,
1,North Carolina,29.17,74.3,,,,,,
16,Iona,-3.13,70.5,,,,,,
8,Utah St.,16.62,67.8,,,,,,
9,Washington,13.37,65.8,,,,,,
5,Auburn,23.33,67.5,,,,,,
12,New Mexio St.,13.59,65.6,,,,,,
4,Kansas,20.71,69.9,,,,,,
13,Northeastern,8.74,66,,,,,,
6,Iowa St.,21.85,67.6,,,,,,
11,Ohio St.,15.08,65.7,,,,,,
3,Houston,22.43,66.1,,,,,,
14,Georgia St.,5.6,69.8,,,,,,
7,Wofford,20.72,65.6,,,,,,
10,Seton Hall,12.91,68.9,,,,,,
2,Kentucky,27.42,65.8,,,,,,
15,Abilene Christ.,2.09,66,,,,,,